year,country_id,country_name,population,gdp,gdp_per_capita,stability,democracy,corruption,unemployment,net_migration,birth_rate,death_rate,inflation,resource_reserve_index
1,27,Country_28,20309204,6313887842.97,310.89,61.30,49.65,2.83,2.36,-98097,0.0287,0.0269,0.0240,0.49
1,28,Country_29,1403414,326648348.82,232.75,78.37,66.76,18.78,10.87,-3121,0.0144,0.0210,0.0259,0.17
1,29,Country_30,882893,231173646.94,261.84,58.23,67.10,18.88,24.53,-1149,0.0121,0.0279,0.0156,0.04
1,30,Country_31,123555403,32959452322.11,266.76,60.23,30.11,8.82,10.73,-833867,0.0190,0.0104,0.0119,0.43
1,31,Country_32,29194321,3731907408.87,127.83,34.95,66.70,82.76,27.07,-364166,0.0077,0.0169,0.0291,0.14
1,32,Country_33,81143395,23663997220.28,291.63,46.07,70.13,6.29,23.41,-272931,0.0159,0.0155,0.0286,0.32
1,33,Country_34,1434100,291840056.16,203.50,27.91,20.28,91.52,23.77,-40236,0.0097,0.0321,0.0181,0.12
1,34,Country_35,4380155,1900619940.44,433.92,64.35,23.86,21.39,18.31,-36683,0.0179,0.0146,0.0300,0.26
1,35,Country_36,111140404,22269220693.66,200.37,24.94,37.10,2.83,19.18,-754606,0.0113,0.0279,0.0278,1.70
1,36,Country_37,95588853,31244265792.00,326.86,30.84,78.69,15.42,23.18,-317194,0.0120,0.0094,0.0126,0.20
1,37,Country_38,763261,246661733.46,323.17,53.00,43.26,57.80,15.15,-5813,0.0168,0.0317,0.0260,0.25
1,38,Country_39,135008367,27391319049.36,202.89,30.07,77.38,0.75,26.46,-291931,0.0078,0.0319,0.0374,0.62
1,39,Country_40,442388754,104472352071.97,236.16,75.84,26.33,94.60,9.88,-5253196,0.0237,0.0237,0.0213,1.89
1,40,Country_41,1415257,333008104.84,235.30,50.58,22.29,17.06,10.14,-7291,0.0129,0.0288,0.0161,0.03
1,41,Country_42,3995511,1685111200.40,421.75,50.59,77.95,51.90,23.80,-45277,0.0112,0.0223,0.0229,0.28
1,42,Country_43,2229369,849459692.20,381.03,47.22,63.24,94.40,23.04,-35276,0.0089,0.0130,0.0284,0.08
1,43,Country_44,718168,278593704.22,387.92,48.30,27.60,91.99,7.73,-12590,0.0182,0.0114,0.0253,0.04
1,44,Country_45,118122572,10309530721.72,87.28,37.46,68.71,74.93,25.34,-826877,0.0149,0.0231,0.0196,0.14
1,45,Country_46,3211829,627167056.50,195.27,73.17,49.81,29.18,7.70,-22155,0.0218,0.0248,0.0147,0.08
1,46,Country_47,15746743,4201390676.55,266.81,68.99,65.93,94.44,23.02,-138631,0.0278,0.0272,0.0321,0.10
1,47,Country_48,77103590,29756310862.62,385.93,37.84,61.90,25.90,20.04,-429426,0.0096,0.0256,0.0123,1.90
1,48,Country_49,3579587,823850350.84,230.15,31.13,44.10,27.94,17.93,-24837,0.0099,0.0300,0.0278,0.08
1,49,Country_50,2610046,406157839.24,155.61,62.79,64.74,27.28,16.96,-12639,0.0128,0.0162,0.0138,0.03
2,0,Country_1,41246963,5053274270.06,122.51,55.77,40.31,1.25,16.42,-249908,0.0207,0.0230,0.0156,0.10
2,1,Country_2,1317015,286741445.70,217.72,70.41,49.19,25.76,8.07,-7085,0.0179,0.0174,0.0496,0.08
2,2,Country_3,4319805,1519064813.03,351.65,65.44,36.35,91.63,1.75,-30637,0.0175,0.0242,0.0195,0.05
2,3,Country_4,19658067,2947872051.62,149.96,57.74,38.01,19.76,24.05,-192936,0.0150,0.0319,0.0485,0.25
2,4,Country_5,447356423,91327915407.62,204.15,100.00,57.03,2.58,14.26,-1903482,0.0211,0.0332,0.0334,0.91
2,5,Country_6,4814536,494404640.97,102.69,40.90,33.80,92.09,25.15,-91769,0.0161,0.0186,0.0313,0.03
2,6,Country_7,83701542,21713881916.98,259.42,32.06,80.30,23.77,9.79,-524824,0.0132,0.0249,0.0352,0.20
2,7,Country_8,63139430,11997787654.31,190.02,62.25,61.91,88.37,6.50,-935854,0.0181,0.0097,0.0241,0.15
2,8,Country_9,87346737,8955379525.74,102.53,54.55,31.15,14.81,18.38,-815392,0.0207,0.0123,0.0135,0.71
2,9,Country_10,45840942,3564927398.23,77.77,36.01,50.04,79.38,25.13,-1281326,0.0134,0.0167,0.0359,0.22
2,10,Country_11,530476,148245945.12,279.46,20.63,21.82,27.76,19.26,-6823,0.0076,0.0272,0.0153,0.03
2,11,Country_12,37302571,10936465667.32,293.18,41.30,36.30,74.30,17.63,-391365,0.0182,0.0275,0.0223,0.07
2,12,Country_13,27194028,11002316282.60,404.59,55.01,58.94,93.01,7.02,-267838,0.0128,0.0288,0.0237,0.47
2,13,Country_14,3398499,957405529.09,281.71,52.71,74.05,16.59,11.73,-15487,0.0187,0.0301,0.0156,0.05
2,14,Country_15,45793164,19791427663.86,432.19,56.56,29.98,11.57,6.45,-372020,0.0164,0.0283,0.0148,0.60
2,15,Country_16,4071873,1658257821.58,407.25,13.94,56.62,85.22,11.80,-28566,0.0041,0.0085,0.0125,0.04
2,16,Country_17,29350641,7282758954.76,248.13,51.66,27.28,95.17,2.51,-540763,0.0218,0.0203,0.0187,0.11
2,17,Country_18,1410661,391236491.15,277.34,22.38,35.26,13.54,8.31,-12293,0.0107,0.0097,0.0251,0.11
2,18,Country_19,494725,55294326.81,111.77,12.08,21.26,95.36,13.82,-9706,0.0049,0.0110,0.0214,0.03
2,19,Country_20,83838692,24802468821.76,295.84,44.58,35.78,25.57,9.61,-621104,0.0123,0.0199,0.0250,0.83
2,20,Country_21,171095813,42046075467.04,245.75,14.01,24.26,67.52,25.62,-3904086,0.0058,0.0143,0.0241,0.47
2,21,Country_22,11458784,2356765734.39,205.67,51.06,53.50,21.97,6.43,-78083,0.0229,0.0173,0.0254,0.46
2,22,Country_23,1957350,320443726.67,163.71,28.82,60.63,8.65,21.47,-12055,0.0107,0.0231,0.0388,0.11
2,23,Country_24,2366606,782027846.86,330.44,43.40,76.98,26.50,9.76,-6188,0.0196,0.0331,0.0132,0.18
2,24,Country_25,40241447,9681992409.23,240.60,19.66,55.92,80.65,21.72,-509226,0.0060,0.0116,0.0329,0.51
2,25,Country_26,766251,86654310.04,113.09,41.52,31.18,35.88,10.01,-7871,0.0198,0.0183,0.0291,0.10
2,26,Country_27,680821,140451935.70,206.30,64.81,78.33,27.93,7.12,-2838,0.0222,0.0295,0.0416,0.11
2,27,Country_28,20569784,6223191316.49,302.54,58.53,50.33,2.80,2.73,-101203,0.0274,0.0170,0.0145,0.47
2,28,Country_29,1418713,305586644.08,215.40,69.68,67.11,18.47,10.88,-6516,0.0259,0.0113,0.0159,0.16
2,29,Country_30,886726,217101929.78,244.84,50.50,67.29,18.56,24.92,-3558,0.0218,0.0244,0.0253,0.04
2,30,Country_31,123916800,32186907676.95,259.75,62.81,30.37,8.75,10.79,-928835,0.0135,0.0252,0.0207,0.41
2,31,Country_32,28589246,3330814854.72,116.51,26.79,66.57,81.38,27.97,-629111,0.0121,0.0220,0.0194,0.14
2,32,Country_33,82588262,21016689265.05,254.48,57.54,70.79,6.18,23.41,-309210,0.0232,0.0212,0.0270,0.31
2,33,Country_34,1399057,264243985.89,188.87,17.23,20.05,91.06,24.55,-15057,0.0049,0.0263,0.0266,0.12
2,34,Country_35,4356787,1679702386.29,385.54,56.07,24.25,21.26,18.61,-49700,0.0141,0.0205,0.0206,0.25
2,35,Country_36,110407219,21549215301.42,195.18,25.11,37.30,2.80,19.88,-702800,0.0099,0.0075,0.0197,1.66
2,36,Country_37,96673151,31361178157.40,324.40,43.24,79.32,15.12,23.97,-320203,0.0155,0.0177,0.0288,0.19
2,37,Country_38,750137,229009538.60,305.29,43.49,43.21,57.17,15.67,-10997,0.0137,0.0085,0.0179,0.25
2,38,Country_39,136487869,24457127832.74,179.19,50.98,77.91,0.73,26.40,-313158,0.0134,0.0153,0.0313,0.61
2,39,Country_40,444844062,91003651390.92,204.57,65.75,25.74,93.99,9.61,-3756106,0.0308,0.0122,0.0140,1.81
2,40,Country_41,1411361,310452750.88,219.97,42.28,22.34,16.97,10.74,-11212,0.0206,0.0127,0.0167,0.03
2,41,Country_42,3992902,1513097650.67,378.95,42.77,77.88,50.89,24.10,-23502,0.0175,0.0109,0.0208,0.27
2,42,Country_43,2173775,768001011.42,353.30,36.18,62.98,92.91,23.30,-65825,0.0132,0.0229,0.0156,0.08
2,43,Country_44,709874,245773825.39,346.22,40.53,27.17,91.36,7.86,-8028,0.0087,0.0111,0.0244,0.04
2,44,Country_45,117571548,9656353124.09,82.13,31.50,68.64,73.65,25.80,-670919,0.0148,0.0292,0.0120,0.13
2,45,Country_46,3203614,614192233.57,191.72,64.37,50.12,28.82,7.27,-19170,0.0166,0.0098,0.0252,0.08
2,46,Country_47,15749284,4015620859.05,254.97,57.78,65.55,92.89,23.66,-183202,0.0264,0.0151,0.0307,0.10
2,47,Country_48,77775049,29878904013.19,384.17,50.07,62.42,25.49,20.18,-455442,0.0175,0.0103,0.0182,1.82
2,48,Country_49,3496021,750051856.67,214.54,23.27,44.00,27.63,18.94,-50369,0.0086,0.0287,0.0128,0.07
2,49,Country_50,2622518,383175423.35,146.11,52.52,64.72,26.83,16.95,-11964,0.0201,0.0226,0.0120,0.03
3,0,Country_1,41320494,5214440873.79,126.20,50.32,40.77,1.24,16.85,-246617,0.0185,0.0280,0.0278,0.09
3,1,Country_2,1327721,278159675.00,209.50,62.15,49.20,25.45,7.87,-8640,0.0277,0.0322,0.0377,0.08
3,2,Country_3,4254056,1502074771.61,353.09,55.45,35.97,90.80,2.38,-64575,0.0114,0.0095,0.0261,0.05
3,3,Country_4,19462698,2851643915.45,146.52,51.59,38.56,19.57,23.98,-168873,0.0188,0.0166,0.0382,0.25
3,4,Country_5,466428812,119439218775.63,256.07,100.00,57.69,2.55,13.86,-1885750,0.0469,0.0179,0.0326,0.87
3,5,Country_6,4712873,461296631.50,97.88,30.72,33.22,91.32,25.92,-102003,0.0151,0.0286,0.0376,0.03
3,6,Country_7,84318916,25412634634.09,301.39,40.31,80.58,23.29,10.49,-174982,0.0162,0.0225,0.0390,0.20
3,7,Country_8,62760509,11684541259.75,186.18,50.21,61.27,87.01,6.36,-613201,0.0108,0.0151,0.0252,0.15
3,8,Country_9,87809440,9004346526.71,102.54,50.50,31.52,14.69,18.41,-819683,0.0211,0.0224,0.0224,0.70
3,9,Country_10,45082199,3243293012.59,71.94,25.19,49.52,78.40,25.93,-598960,0.0087,0.0273,0.0328,0.21
3,10,Country_11,519477,141284600.95,271.97,12.87,22.27,27.61,19.99,-6062,0.0063,0.0330,0.0248,0.03
3,11,Country_12,36400363,10866345838.59,298.52,33.17,35.88,73.63,18.51,-712852,0.0071,0.0100,0.0253,0.07
3,12,Country_13,26642495,10865101866.86,407.81,47.90,58.78,91.64,7.69,-459862,0.0115,0.0202,0.0253,0.45
3,13,Country_14,3354727,931801653.21,277.76,44.93,74.10,16.29,11.74,-16656,0.0092,0.0328,0.0274,0.05
3,14,Country_15,45582944,20651509960.79,453.05,55.98,30.37,11.48,6.56,-358468,0.0130,0.0230,0.0122,0.59
3,15,Country_16,3931636,1591952468.27,404.91,3.74,56.11,84.02,13.67,-122709,0.0014,0.0275,0.0245,0.04
3,16,Country_17,29150117,7175266244.28,246.15,44.32,27.10,94.52,2.67,-303635,0.0151,0.0202,0.0284,0.10
3,17,Country_18,1395845,376807585.48,269.95,16.97,35.82,13.42,9.67,-11642,0.0059,0.0180,0.0408,0.10
3,18,Country_19,477726,51430455.01,107.66,1.76,20.64,94.87,14.86,-13151,0.0007,0.0328,0.0135,0.03
3,19,Country_20,83695582,24795318833.41,296.26,42.56,36.22,25.34,10.10,-947962,0.0181,0.0231,0.0178,0.81
3,20,Country_21,167801024,40047483505.33,238.66,5.68,23.96,67.12,26.93,-2177029,0.0020,0.0273,0.0242,0.46
3,21,Country_22,11453497,2338187300.01,204.15,46.16,53.66,21.67,6.58,-73101,0.0154,0.0310,0.0197,0.45
3,22,Country_23,1931252,310878164.24,160.97,22.03,61.08,8.52,22.36,-8571,0.0075,0.0246,0.0221,0.10
3,23,Country_24,2336430,778013726.64,332.99,37.77,77.46,25.98,10.58,-8681,0.0081,0.0120,0.0132,0.18
3,24,Country_25,39650993,9350070971.50,235.81,10.26,55.72,79.52,23.39,-434143,0.0035,0.0151,0.0260,0.50
3,25,Country_26,757301,83853345.25,110.73,33.42,31.12,35.60,10.37,-9372,0.0124,0.0157,0.0229,0.10
3,26,Country_27,677351,137508050.67,203.01,56.14,78.79,27.38,7.40,-2177,0.0164,0.0254,0.0406,0.10
3,27,Country_28,20583184,6552798111.53,318.36,56.21,51.04,2.76,3.26,-105438,0.0122,0.0201,0.0238,0.45
3,28,Country_29,1428371,303935452.50,212.78,60.99,67.45,18.15,10.44,-4757,0.0165,0.0202,0.0163,0.16
3,29,Country_30,883296,214541153.78,242.89,42.75,67.47,18.25,25.61,-3158,0.0125,0.0200,0.0149,0.04
3,30,Country_31,125704003,34538569288.43,274.76,65.81,30.64,8.69,10.71,-971656,0.0283,0.0156,0.0155,0.40
3,31,Country_32,27885017,3155486087.24,113.16,18.58,66.46,80.03,29.25,-515690,0.0081,0.0103,0.0155,0.13
3,32,Country_33,83227635,25612693776.17,307.74,68.87,71.49,6.07,23.21,-299809,0.0139,0.0166,0.0240,0.30
3,33,Country_34,1361776,249473975.55,183.20,6.50,19.82,90.61,26.01,-16513,0.0021,0.0257,0.0249,0.11
3,34,Country_35,4322551,1643813201.18,380.29,49.63,24.64,21.13,19.48,-43877,0.0128,0.0252,0.0265,0.24
3,35,Country_36,109967635,22529188421.99,204.87,25.62,37.53,2.78,20.22,-729160,0.0057,0.0077,0.0147,1.61
3,36,Country_37,97670329,36994255722.25,378.77,55.20,79.98,14.82,24.50,-200169,0.0138,0.0222,0.0309,0.19
3,37,Country_38,751202,219048219.34,291.60,33.97,43.17,56.56,16.63,-6347,0.0151,0.0157,0.0247,0.24
3,38,Country_39,138191093,28294760688.86,204.75,68.82,78.45,0.72,26.24,-301324,0.0148,0.0272,0.0325,0.60
3,39,Country_40,442611028,96730728001.04,218.55,56.27,25.16,93.40,10.21,-5511542,0.0141,0.0142,0.0228,1.74
3,40,Country_41,1400548,301792765.54,215.48,33.93,22.38,16.87,11.09,-15184,0.0112,0.0261,0.0129,0.03
3,41,Country_42,3962617,1487431858.04,375.37,34.93,77.82,49.90,25.00,-50812,0.0117,0.0281,0.0271,0.26
3,42,Country_43,2128180,733636482.47,344.72,25.16,62.73,91.45,24.40,-26808,0.0057,0.0118,0.0206,0.07
3,43,Country_44,691151,236724828.32,342.51,32.75,26.76,90.75,8.63,-20202,0.0109,0.0296,0.0358,0.04
3,44,Country_45,114922638,9441230823.03,82.15,25.48,68.59,72.39,26.53,-1547611,0.0067,0.0279,0.0290,0.13
3,45,Country_46,3217527,605636349.24,188.23,55.61,50.43,28.46,7.47,-24364,0.0175,0.0228,0.0295,0.08
3,46,Country_47,15830546,3889479454.30,245.69,48.58,65.18,91.38,23.99,-153590,0.0239,0.0313,0.0204,0.09
3,47,Country_48,79158863,33659701009.49,425.22,61.77,63.01,25.09,20.64,-538237,0.0259,0.0162,0.0191,1.75
3,48,Country_49,3435764,712796368.44,207.46,15.30,43.91,27.33,19.77,-20163,0.0061,0.0178,0.0272,0.07
3,49,Country_50,2599475,374815438.39,144.19,44.26,64.70,26.40,17.56,-12242,0.0100,0.0188,0.0278,0.03
4,0,Country_1,40985041,5390671905.06,131.53,47.15,41.25,1.22,16.92,-251639,0.0110,0.0138,0.0205,0.09
4,1,Country_2,1315471,273330729.57,207.78,53.88,49.22,25.13,8.32,-11563,0.0224,0.0205,0.0483,0.08
4,2,Country_3,4230258,1439411238.69,340.27,47.45,35.60,90.00,3.29,-70608,0.0166,0.0308,0.0184,0.05
4,3,Country_4,19421545,2768346002.28,142.54,45.39,39.12,19.38,24.01,-133885,0.0156,0.0147,0.0418,0.24
4,4,Country_5,476879097,155075905841.31,325.19,100.00,58.67,2.51,13.12,-1939675,0.0267,0.0235,0.0370,0.83
4,5,Country_6,4580937,428734396.55,93.59,20.48,32.65,90.58,26.32,-57461,0.0075,0.0263,0.0384,0.03
4,6,Country_7,85272235,27976179812.15,328.08,50.11,80.95,22.82,11.04,-458794,0.0215,0.0249,0.0285,0.19
4,7,Country_8,61993195,11272806653.56,181.84,40.27,60.64,85.70,7.13,-1031406,0.0134,0.0267,0.0146,0.15
4,8,Country_9,87336421,9125525169.56,104.49,46.63,31.91,14.57,18.54,-797391,0.0152,0.0286,0.0136,0.68
4,9,Country_10,43591463,2999283605.50,68.80,14.29,49.00,77.44,26.94,-764971,0.0032,0.0142,0.0262,0.21
4,10,Country_11,504031,134922946.08,267.69,5.06,22.72,27.45,21.60,-6923,0.0023,0.0230,0.0149,0.03
4,11,Country_12,35570200,10351672134.92,291.02,25.05,35.46,72.98,19.43,-902214,0.0072,0.0112,0.0256,0.07
4,12,Country_13,26425659,10503754768.73,397.48,40.84,58.64,90.30,8.31,-399393,0.0176,0.0287,0.0242,0.44
4,13,Country_14,3328043,907496995.03,272.68,37.15,74.15,15.98,11.81,-19452,0.0176,0.0110,0.0183,0.05
4,14,Country_15,45406100,21475919991.74,472.97,55.68,30.82,11.39,6.51,-319534,0.0111,0.0164,0.0280,0.58
4,15,Country_16,3769335,1473148625.46,390.82,0.00,55.61,82.85,15.31,-101177,0.0000,0.0073,0.0163,0.04
4,16,Country_17,29008775,7011427785.99,241.70,37.01,26.92,93.89,2.76,-222658,0.0157,0.0130,0.0247,0.10
4,17,Country_18,1369064,363558742.40,265.55,11.44,36.38,13.30,10.93,-11205,0.0024,0.0127,0.0423,0.10
4,18,Country_19,448050,47289669.55,105.55,0.00,20.02,94.40,16.09,-19508,0.0000,0.0135,0.0202,0.03
4,19,Country_20,83216972,25059044504.99,301.13,40.63,36.69,25.11,10.69,-877879,0.0152,0.0289,0.0181,0.78
4,20,Country_21,158966229,38442601236.89,241.83,0.00,23.66,66.72,28.88,-6248479,0.0000,0.0298,0.0277,0.45
4,21,Country_22,11427706,2321748029.98,203.17,41.26,53.82,21.38,7.10,-63098,0.0205,0.0262,0.0188,0.44
4,22,Country_23,1892698,298901499.87,157.92,15.15,61.53,8.39,23.68,-11177,0.0036,0.0251,0.0221,0.10
4,23,Country_24,2332908,754054152.64,323.22,32.10,77.95,25.48,11.07,-19828,0.0144,0.0249,0.0266,0.17
4,24,Country_25,38225753,8867028636.01,231.96,0.80,55.53,78.42,24.46,-1050749,0.0002,0.0118,0.0252,0.48
4,25,Country_26,750501,80260310.55,106.94,25.29,31.06,35.33,10.97,-7208,0.0117,0.0239,0.0142,0.09
4,26,Country_27,673442,132898122.84,197.34,49.44,79.25,26.84,7.55,-3100,0.0159,0.0099,0.0363,0.10
4,27,Country_28,20649223,6773578655.73,328.03,54.04,51.75,2.72,3.96,-105841,0.0160,0.0322,0.0206,0.43
4,28,Country_29,1435350,302367526.95,210.66,52.35,67.80,17.85,10.21,-5046,0.0198,0.0189,0.0265,0.15
4,29,Country_30,878296,209248755.93,238.24,34.97,67.66,17.94,26.57,-6953,0.0134,0.0189,0.0232,0.04
4,30,Country_31,126408137,36504452291.52,288.78,69.84,30.93,8.62,10.82,-908341,0.0165,0.0081,0.0203,0.38
4,31,Country_32,27441465,2952524218.17,107.59,10.32,66.35,78.70,29.98,-318916,0.0041,0.0319,0.0156,0.13
4,32,Country_33,86057787,29487196565.96,342.64,82.31,72.28,5.96,23.28,-248356,0.0379,0.0137,0.0317,0.28
4,33,Country_34,1274427,231353083.18,181.53,0.00,19.60,90.17,27.03,-65601,0.0000,0.0114,0.0148,0.11
4,34,Country_35,4311536,1595208705.79,369.99,43.10,25.03,21.00,20.27,-37003,0.0199,0.0201,0.0267,0.23
4,35,Country_36,109835024,23640004682.77,215.23,26.92,37.80,2.75,20.57,-771352,0.0088,0.0116,0.0157,1.56
4,36,Country_37,99476347,41381951673.28,416.00,70.00,80.77,14.52,24.56,-331334,0.0220,0.0219,0.0214,0.18
4,37,Country_38,739110,213051093.69,288.25,24.40,43.13,55.95,17.36,-9692,0.0066,0.0094,0.0233,0.24
4,38,Country_39,140658344,34024436221.30,241.89,90.35,79.03,0.70,25.59,-288989,0.0200,0.0130,0.0339,0.59
4,39,Country_40,437785300,94988181011.94,216.97,48.73,24.60,92.82,10.86,-9829713,0.0185,0.0161,0.0317,1.67
4,40,Country_41,1372319,292076764.15,212.83,25.54,22.42,16.78,11.85,-14633,0.0067,0.0100,0.0306,0.03
4,41,Country_42,3896936,1440826714.34,369.73,27.06,77.77,48.93,26.38,-36190,0.0082,0.0227,0.0185,0.24
4,42,Country_43,2074069,691721585.12,333.51,14.11,62.48,90.03,25.63,-43117,0.0031,0.0125,0.0279,0.07
4,43,Country_44,676807,224334753.37,331.46,24.92,26.34,90.15,9.92,-5243,0.0083,0.0135,0.0284,0.04
4,44,Country_45,111190521,9114899808.46,81.98,19.55,68.55,71.14,27.35,-2560039,0.0057,0.0287,0.0175,0.12
4,45,Country_46,3223422,597261715.16,185.29,48.85,50.75,28.09,7.52,-29463,0.0231,0.0198,0.0186,0.07
4,46,Country_47,15282992,3815982686.08,249.69,39.42,64.82,89.90,24.45,-404401,0.0086,0.0163,0.0276,0.09
4,47,Country_48,80731764,37928661283.43,469.81,75.94,63.64,24.69,20.10,-369886,0.0255,0.0117,0.0193,1.67
4,48,Country_49,3380736,682937534.29,202.01,7.26,43.81,27.03,21.35,-23776,0.0028,0.0132,0.0269,0.07
4,49,Country_50,2585805,361756849.64,139.90,35.96,64.68,25.97,17.50,-21434,0.0143,0.0127,0.0149,0.03
5,0,Country_1,41343505,5473130854.50,132.38,44.11,41.75,1.21,17.66,-250059,0.0215,0.0286,0.0251,0.09
5,1,Country_2,1307876,263975557.76,201.84,47.55,49.24,24.82,8.60,-6912,0.0134,0.0331,0.0530,0.07
5,2,Country_3,4136037,1397481828.97,337.88,39.40,35.23,89.20,4.12,-98875,0.0168,0.0200,0.0201,0.05
5,3,Country_4,19260199,2734010854.06,141.95,39.16,39.68,19.19,24.22,-138526,0.0094,0.0337,0.0367,0.24
5,4,Country_5,494779585,236324909686.38,477.64,100.00,59.65,2.47,11.90,-1943943,0.0417,0.0274,0.0299,0.79
5,5,Country_6,4390549,396879852.75,90.39,10.20,32.09,89.85,26.97,-103437,0.0027,0.0226,0.0398,0.02
5,6,Country_7,86316936,31810248969.84,368.53,59.85,81.35,22.36,10.93,-332682,0.0203,0.0271,0.0421,0.19
5,7,Country_8,61211607,10828160462.04,176.90,30.35,60.03,84.41,7.49,-249009,0.0078,0.0185,0.0214,0.14
5,8,Country_9,86902794,9289629826.07,106.90,42.91,32.31,14.46,18.59,-823096,0.0184,0.0179,0.0191,0.67
5,9,Country_10,41905007,2724663800.60,65.02,3.31,48.49,76.50,28.45,-1219198,0.0009,0.0179,0.0203,0.20
5,10,Country_11,488045,126331201.01,258.85,0.00,23.17,27.29,22.59,-9035,0.0000,0.0163,0.0241,0.03
5,11,Country_12,35136947,9909658323.96,282.03,16.81,35.05,72.34,20.81,-387227,0.0048,0.0106,0.0140,0.07
5,12,Country_13,25953375,10240833319.57,394.59,33.83,58.51,88.98,8.80,-237974,0.0074,0.0314,0.0148,0.42
5,13,Country_14,3329347,886203132.51,266.18,29.36,74.20,15.69,12.87,-12932,0.0118,0.0328,0.0125,0.05
5,14,Country_15,45464878,22380483935.01,492.26,55.62,31.28,11.30,7.21,-364356,0.0151,0.0227,0.0240,0.57
5,15,Country_16,3723302,1386300430.81,372.33,0.00,55.13,81.71,16.80,-28928,0.0000,0.0316,0.0108,0.04
5,16,Country_17,28697347,6882759221.94,239.84,29.74,26.74,93.26,3.28,-358655,0.0102,0.0324,0.0196,0.10
5,17,Country_18,1344437,346936296.33,258.05,5.80,36.94,13.18,12.36,-13668,0.0022,0.0110,0.0377,0.09
5,18,Country_19,438374,43577179.96,99.41,0.00,19.40,93.94,17.54,-5447,0.0000,0.0239,0.0177,0.03
5,19,Country_20,82937464,25862956392.60,311.84,39.30,37.17,24.88,11.50,-530640,0.0147,0.0131,0.0209,0.76
5,20,Country_21,150951556,35407768307.14,234.56,0.00,23.38,66.33,30.57,-5448188,0.0000,0.0317,0.0170,0.44
